,LIST OF ACCREDITED TRES PER LGU,,,,,,,
,As of August 31 2025,,,,,,,
,,,,,,,,
,Enterprise Type,Enterprise Name,Address,Contact Number,Email,Accreditation Number,Validity,New/Renewal
,GENERAL LUNA,,,,,,,
,GENERAL LUNA,,,,,,,
1,Resort,Siago Beach Resort,"Purok 5, General Luna Surigao Del Norte",639175909315,siagobeachresort@gmail.com,DOT-R13-RES-00122-2021,31-Oct-26,Renewal
2,Resort,Kermit Surf & Dive Camp Inc.,"General luna, Surigao del Norte",9758019657,inquiry@kermitsiargao.com,DOT-R13-RES-00031-2020,31-Oct-26,Renewal
3,Resort,Nay Palad Hideaway,"General luna, Surigao del Norte",9177017840,vince@naypaladhideaway.com,DOT-R13-RES-00384-2023,31-Oct-26,Renewal
4,Resort,Cherinicole Beach Resort,"Poblacion 3, General Luna, Surigao del Norte",0918-244-4407 / 0977-336-9547 / 0933-866-6460,cherinicoleresort@yahoo.com,DOT-R13-RES-00029-2020,31-Oct-26,Renewal
5,Resort,Surfing Temple,"General luna, Surigao del Norte",9684402027,surfingtemple@gmail.com,DOT-R13-RES-00133-2021,31-Oct-26,Renewal
6,Resort,Isla Cabana Resort,"General luna, Surigao del Norte",9285595244,islacabanaresort@gmail.com,DOT-R13-RES-00385-2023,31-Oct-26,Renewal
7,Resort,Jonas and Twins Resort,"General luna, Surigao del Norte",9272820302,jonastwinsresort@gmail.com,DOT-R13-RES-00037-2020,31-Oct-26,Renewal
8,Resort,Sandyfeet Vacation Home Rentals,"General luna, Surigao del Norte",0966 177 5676,relax@sandyfeetsiargao.com,DOT-R13-RES-00046-2020,31-Oct-26,Renewal
9,Resort,Buddha Resort,"General luna, Surigao del Norte",9282079631,hello@buddhasiargao.com,DOT-R13-RES-00174-2021,31-Oct-26,Renewal
10,Resort,Kalipay Resort,"General luna, Surigao del Norte",9560190172,help@kalipayresort.com,DOT-R13-RES-00069-2021,31-Oct-26,Renewal
11,Resort,Villa Cali Resort,"General luna, Surigao del Norte",0920 662 7924,Villacalisiargao@gmail.com,DOT-R13-RES-00077-2021,31-Oct-26,Renewal
12,Resort,Bravo Beach Resort,"General luna, Surigao del Norte",0917 626 1088,manager@bravoresort.com,DOT-R13-RES-00149-2021,31-Oct-26,Renewal
13,Resort,Apsaras Tribe Philippines Inc.,"Catangnan, General Luna, Surigao del Norte",99953131174,reservations@apsarasgroup.co.uk / accountingstaff.siargao@apsarasgroup.co.uk,DOT-R13-RES-00042-2020,31-Oct-26,Renewal
14,Resort,Maison Bukana Private Resort,"Surigao del Norte, General Luna, Malinao",09272071392,cbariou@maisonbukana.com,DOT-R13-RES-00116-2021,31-Oct-26,18-Jan-00
15,Resort,Reef Beach Resort,"Catangnan, General Luna, Surigao del Norte",0999-339-3535,reefbeachhouses@gmail.com,DOT-R13-RES-00048-2020,31-Oct-26,3-Feb-00
16,Resort,Kalinaw Resort,"Catangnan, General Luna, Siargao, Surigao del Norte",9193957456,info@kalinawresort.com,DOT-R13-RES-00021-2020,31-Oct-26,
17,Resort,Siargao Bleu Resort & Spa,"Catangnan, General Luna, Surigao del Norte",9178188800,siargaobleu@gmail.com,DOT-R13-RES-00049-2021,31-Oct-26,
,,,,,,,,
1,Mabuhay Accommodation,Romantic Beach Villas,"Pob. 5, General Luna, Surigao del Norte",9166226635,rcadek@yahoo.com/rbz@islandsiargao.com / rbvfront@gmail.com,DOT-R13-MAB-00071-2021,31-Oct-26,Renewal
2,Mabuhay Accommodation,Gardenview Homestay,"Brgy. Catangnan, General Luna, Surigao del Norte",0999-676-8337,herbertamaba@yahoo.com,DOT-R13-MAB-00083-2021,31-Oct-26,Renewal
3,Mabuhay Accommodation,RDM Beach Resort,"Region 13, Surigao del Norte, General Luna, Malinao",9190006408,annemadlos@gmail.com,DOT-R13-MAB-00100-2021,31-Oct-26,Renewal
4,Mabuhay Accommodation,Tarzan's House,"Surigao del Norte, General Luna, Catangnan",9620401104,tarzanshouse2019@gmail.com,DOT-R13-MAB-00178-2021,31-Oct-26,Renewal
5,Mabuhay Accommodation,SENTROSUITES VILLA RENTAL [FORMERLY KNOWN AS SENTRO SUITES],"Poblacion II, General Luna, Surigao del Norte",9088830204,info@sentrosuitessiargao.com,DOT-R13-MAB-00259-2022,31-Oct-26,Renewal
6,Mabuhay Accommodation,Patrick's on the Beach,"General Luna, Surigao del Norte",9204317361,"comadevie17@gmail.com

patricksonthebeach@gmail.com

elizabethmiko@gmail.com",DOT-R13-MAB-00080-2021,31-Oct-26,Renewal
7,Mabuhay Accommodation,FOXTAIL GUEST HOUSE,"General Luna, Surigao del Norte",9093914370,foxtailsiargaogh@gmail.com,DOT-R13-MAB-01009-2024,31-Oct-26,Renewal
8,Mabuhay Accommodation,Hostel Bajala Siargao Corp,"General Luna, Surigao del Norte",9176597171,hr@bajalasiargao.ph,DOT-R13-MAB-00537-2023,31-Oct-26,Renewal
9,Mabuhay Accommodation,YAMAHARLEY BEACHFRONT APARTMENTS,"General Luna, Surigao del Norte",9505005767,mgmtefora@gmail.com,DOT-R13-MAB-00550-2023,31-Oct-26,Renewal
