 ,,,,,,,,,,
,LIST OF ACCREDITED TREs PER LGU,,,,,,,,,
,As of August 31 2025,,,,,,,,,
,,,,,,,,,,
,Enterprise Type,Enterprise Name,Address,Contact number,Email,Accreditation Number,Validity,New/Renewal,,
,CAGWAIT,,,,,,,,,
,CAGWAIT,,,,,,,,,
1,Mabuhay Accommodation,JPL Sandscape Resort,"Lactudan, Cagwait, Surigao del Sur",9270322630,sandscaperesort@gmail.com,DOT-R13-MAB-00282-2022,31-Oct-26,Renewal,,
2,Mabuhay Accommodation,Yanto Beach Resort,"Purok 6, Poblacion, Cagwait, Surigao del Sur",9630990980,yantobeachhaus@gmail.com,DOT-R13-MAB-01073-2024,31-Oct-26,New,,
3,Mabuhay Accommodation,Kaliguan Beach Resort [Formerly known as LGU Beach Resort],"Poblacion, Cagwait, Surigao del Sur",9317475915,alfredoclozada@yahoo.com,DOT-R13-MAB-00056-2021,31-Oct-26,Renewal,,
4,Mabuhay Accommodation,Monica del Sol Resort,"Surigao del Sur, Cagwait, Poblacion",09161017861,monica.delsol@yahoo.com,DOT-R13-MAB-00109-2021,31-Oct-26,4,,
1,Homestay,FD's Resort,"Lactudan, Cagwait, Surigao del Sur",9506958366,fdresort@gmail.com,DOT-R13-HMY-00456-2023,31-Oct-26,,,
,SAN AGUSTIN,,,,,,,,,
1,Resort,Alima ARQ Beach Resort,"San Agustin, Surigao del Sur",0868562218/ 0862143077,arqbeachresort@gmail.com,DOT-R13-RES-00502-2023,31-Oct-26,Renewal,,
,,,,,,,,,,
1,Mabuhay Accommodation,Villa Rosalina Resort,"San Agustin, Surigao del Sur",(0917) 713 8243,CheYTAnderson@gmail.com,DOT-R13-MAB-00562-2023,31-Oct-26,Renewal,,
2,Mabuhay Accommodation,Arena Blanca Resort,"San Agustin, Surigao del Sur",9190670607,arenablancabeachresort@gmail.com,DOT-R13-MAB-00460-2023,31-Oct-26,Renewal,,
3,Mabuhay Accommodation,La Entrada Resort and Restaurant,"Britania, San Agustin, Surigao del Sur",0930-227-5934 / 0927-364-7489,laentradaresortandrestaurant@yahoo.com,DOT-R13-MAB-00211-2021,31-Oct-26,Renewal,,
4,Mabuhay Accommodation,O's Landing Beach Resort,"San Agustin, Surigao del Sur","09672118467, 09985633500, 09505483800, 09209746055",binsonyu2000@yahoo.com,DOT-R13-MAB-00256-2022,31-Oct-26,8-Jan-00,,
5,Mabuhay Accommodation,VIEL'S PLACE AND RESTAURANT,"San Agustin, Surigao del Sur",9105525717,vielsharboragebritania@gmail.com,DOT-R13-MAB-01300-2025,31-Oct-26,6-Jan-00,,
,,,,,,,,,,
1,Farm Tourism Camp - Farm Stay,"Alameda Farm, Inc.","San Agustin, Surigao del Sur",9177209207,smfalameda@gmail.com,DOT-R13-AGT-00001-2020,13-Dec-26,Renewal,,
,,,,,,,,,,
,TANDAG CITY,,,,,,,,,
1,Hotel,Villa Maria Luisa Hotel Inc.,"National Highway, San Agustin Sur, Tandag City, Surigao del Sur",09308888801 / 09177077957,nonilacruz@gmail.com,DOT-R13-HTL-00002-2020,31-Oct-26,Renewal,,
,,,,,,,,,,
1,Mabuhay Accommodation,ALWIN'S BEACH RESORT,"PUROK KANIPAAN, SAN AGUSTIN SUR, TANDAG CITY, SURIGAO DEL SUR",9387644165,salcedoalwin60@gmail.com,DOT-R13-MAB-01246-2025,31-Oct-25,4,,
,,,,,,,,,,
1,Mabuhay Accommodation,DAWEEZ PENSION HOUSE,"San Agustin Sur, Tandag City, Surigao del Sur",09999932910 / 09813585500,daweezpensionhouse@gmail.com,DOT-R13-MAB-01095-2024,31-Oct-26,New,,
2,Mabuhay Accommodation,GRB GUEST HOUSE,"Purok Pag-Asa 1,Rosario,Tandag City",9505058453,grbguesthouse@gmail.com,DOT-R13-MAB-00192-2021,31-Oct-26,Renewal,,
3,Mabuhay Accommodation,DONELLES HAVEN PENSION HOUSE,"PUROK QUINTOS, MABUA, TANDAG CITY",9177212372,medrano_meg@yahoo.com,DOT-R13-MAB-01211-2024,31-Oct-25,New,,
,,,,,,,,,,
,HINATUAN,,,,,,,,,
1,Mabuhay Accommodation,LODESTONE SHORES RESORT,"Hinatuan, Surigao del Sur",9184961299,lodestoneshoresresort@gmail.com,DOT-R13-MAB-00552-2023,31-Oct-26,Renewal,,
2,Mabuhay Accommodation,Avisha Suites,"Hinatuan, Surigao del Sur",9999381828,avishasuites@gmail.com,DOT-R13-MAB-00222-2022,31-Oct-25,4-January-00,,
3,Mabuhay Accommodation,Isabelle's Tourist Hotel,"Hinatuan, Surigao del Sur",9451855788,rei.gmbislig@royalenergyincorporated.com,DOT-R13-MAB-00461-2023,31-Oct-26,5-January-00,,
4,Mabuhay Accommodation,DaVince Hidden Paradise Resort,"Hinatuan, Surigao del Sur",9184269155,stvincentrdg@yahoo.com,DOT-R13-MAB-00219-2022,31-Oct-26,2-January-00,,
,,,,,,,,,,
,,,,,,,,,,
1,Tour Guide (Community Guide),ALEXIS MACONO MATITO,"Hinatuan, Surigao del Sur",9321562008,engramm2014@gmail.com,DOT-R13-TGD-00501-2023,30-June-26,Renewal,,
2,Tour Guide (Community Guide),Marissa De Castro Manzano,"Maharlika, Hinatuan, Surigao del Sur",9206061921,malotskie@yahoo.com,DOT-R13-TGD-00285-2022,30-June-26,Renewal,,
,,,,,,,,,,
,BISLIG CITY,,,,,,,,,
1,Farm Tourism Camp-Day Farm,City Organic Agri-Fishery Tourism Complex,"Santa Cruz, Bislig City, Surigao del Sur",09300829421,coaftc.bislig@bislig.gov.ph,DOT-R13-AGT-00254-2022,28-May-26,Renewal,,
,,,,,,,,,,
1,Mabuhay Accommodation,PAPER COUNTRY INN,"Bislig City, Surigao del Sur",9176289291,celsafortunato80@yahoo.com,DOT-R13-MAB-00494-2023,31-October-26,,,
,,,,,,,,,,
1,Homestay,Salum Beach Resort,"Bislig City, Surigao del Sur",9089601239,salilinelizabeth@gmail.com,DOT-R13-HMY-00508-2023,31-Oct-26,,,
,,,,,,,,,,
1,Restaurant,Delymar Event Center,"Bislig City, Surigao del Sur",9171145621,delymareventsandrestaurant@gmail.com,DOT-R13-RST-00875-2024,"April 23, 2025",New,,
2,Restaurant,Bislig Highland Function Farm,"Bislig City, Surigao del Sur",9399043572,bernalespatrick@gmail.com,DOT-R13-RST-00504-2023,"March 4, 2026",17,,
3,Restaurant,FOODINABOX Restaurant,"Bislig City, Surigao del Sur",9452489491,paulamae1001@yahoo.com.ph,DOT-R13-RST-00505-2023,"February 28, 2026",24,,
4,Restaurant,Chitchatz Diner,"Bislig City, Surigao del Sur",9176310843,mrk_salas@yahoo.com,DOT-R13-RST-00507-2023,"February 28, 2026",6,,
5,Restaurant,FABELLA COFFEE SHOP,"Bislig City, Surigao del Sur",9666091029,efifabellabir@gmail.com,DOT-R13-RST-01301-2025,"March 21, 2026",4,,
6,Restaurant,KR CORNER CAFE,"Bislig City, Surigao del Sur",9308838953,krcorner2020@gmail.com,DOT-R13-RST-01299-2025,"March 21, 2026",12,,
7,Restaurant,THEAPERO RESTAURANT,"Bislig City, Surigao del Sur",9452489491,edwinmirasol2019@gmail.com,DOT-R13-RST-01297-2025,"March 21, 2026",8,,
8,Restaurant,SEAYOU SEAFOOD AND GRILL,"Bislig City, Surigao del Sur",9163767522,allydelle17@gmail.com,DOT-R13-RST-01316-2025,"April 7, 2026",4,N/A,New
,,,,,,,,,,
1,Tourist Land Transport Operator,Jodab Transport Service Cooperative,"Mangagoy, Bislig City, Surigao del Sur",9561576645,jodab_tsc@yahoo.com,DOT-R13-TTO-00269-2022,30-Apr-26,Renewal,,
,,,,,,,,,,
,Barobo,,,,,,,,,
1,Mabuhay Accommodation,LA MIEL RESORT,"Barobo, Surigao del Sur",9700283569,lktromaraog@gmail.com,DOT-R13-MAB-01345-2025,31-Oct-25,2,,
,,,,,,,,,,
1,Restaurant,MERIENDAS NI MAMA INDAY,"Barobo, Surigao del Sur",9982573157,meljerlozano89@gmail.com,DOT-R13-RST-01338-2025,"May 16, 2025",,,
2,Restaurant,HIGALA FOOD AND BEVERAGE HOUSE,"Barobo, Surigao del Sur",9154813866,kayelopez2018@gmail.com,DOT-R13-RST-01337-2025,"May 15, 2026",,,
,,,,,,,,,,
,TAGO,,,,,,,,,
1,Farm Tourism Camp-Day Farm,VFS AGRI-TOURISM AND ADVENTURE PARK,"Sitio Cagbaroyot, Jubang, Tago, Surigao del Sur",9095194708,matt_gbaquiano15@yahoo.com,DOT-R13-FTC-01314-2025,"April 2, 2027",11,40,New
,,,,,,,,,,
,CANTILAN,,,,,,,,,
1,Tourist Land Transport Operator,CARCANMADCARLAN TRANSPORT SERVICE COOPERATIVE,"P-6 PAG ANTAYAN, CANTILAN, SURIGAO DEL SUR",9700933773,carcanmadcarlan2021@gmail.com,DOT-R13-TTO-00255-2022,30-Apr-26,Renewal,,
,,,,,,,,,,
1,Travel and Tour Agency,CCMCL Travel and Tours,"P-6 PAG ANTAYAN, CANTILAN, SURIGAO DEL SUR",9700933773,ccmcltravelandtours@gmail.com,DOT-R13-TTA-00333-2023,30-Jun-26,,,

,GENERAL LUNA,,,,,,,
1,Resort,Siago Beach Resort,"Purok 5, General Luna Surigao Del Norte",639175909315,siagobeachresort@gmail.com,DOT-R13-RES-00122-2021,31-Oct-26,Renewal
2,Resort,Kermit Surf & Dive Camp Inc.,"General luna, Surigao del Norte",9758019657,inquiry@kermitsiargao.com,DOT-R13-RES-00031-2020,31-Oct-26,Renewal
3,Resort,Nay Palad Hideaway,"General luna, Surigao del Norte",9177017840,vince@naypaladhideaway.com,DOT-R13-RES-00384-2023,31-Oct-26,Renewal
4,Resort,Cherinicole Beach Resort,"Poblacion 3, General Luna, Surigao del Norte",0918-244-4407 / 0977-336-9547 / 0933-866-6460,cherinicoleresort@yahoo.com,DOT-R13-RES-00029-2020,31-Oct-26,Renewal
5,Resort,Surfing Temple,"General luna, Surigao del Norte",9684402027,surfingtemple@gmail.com,DOT-R13-RES-00133-2021,31-Oct-26,Renewal
6,Resort,Isla Cabana Resort,"General luna, Surigao del Norte",9285595244,islacabanaresort@gmail.com,DOT-R13-RES-00385-2023,31-Oct-26,Renewal
7,Resort,Jonas and Twins Resort,"General luna, Surigao del Norte",9272820302,jonastwinsresort@gmail.com,DOT-R13-RES-00037-2020,31-Oct-26,Renewal
8,Resort,Sandyfeet Vacation Home Rentals,"General luna, Surigao del Norte",0966 177 5676,relax@sandyfeetsiargao.com,DOT-R13-RES-00046-2020,31-Oct-26,Renewal
9,Resort,Buddha Resort,"General luna, Surigao del Norte",9282079631,hello@buddhasiargao.com,DOT-R13-RES-00174-2021,31-Oct-26,Renewal
10,Resort,Kalipay Resort,"General luna, Surigao del Norte",9560190172,help@kalipayresort.com,DOT-R13-RES-00069-2021,31-Oct-26,Renewal
11,Resort,Villa Cali Resort,"General luna, Surigao del Norte",0920 662 7924,Villacalisiargao@gmail.com,DOT-R13-RES-00077-2021,31-Oct-26,Renewal
12,Resort,Bravo Beach Resort,"General luna, Surigao del Norte",0917 626 1088,manager@bravoresort.com,DOT-R13-RES-00149-2021,31-Oct-26,Renewal
13,Resort,Apsaras Tribe Philippines Inc.,"Catangnan, General Luna, Surigao del Norte",99953131174,reservations@apsarasgroup.co.uk / accountingstaff.siargao@apsarasgroup.co.uk,DOT-R13-RES-00042-2020,31-Oct-26,Renewal
14,Resort,Maison Bukana Private Resort,"Surigao del Norte, General Luna, Malinao",09272071392,cbariou@maisonbukana.com,DOT-R13-RES-00116-2021,31-Oct-26,18-Jan-00
15,Resort,Reef Beach Resort,"Catangnan, General Luna, Surigao del Norte",0999-339-3535,reefbeachhouses@gmail.com,DOT-R13-RES-00048-2020,31-Oct-26,3-Feb-00
16,Resort,Kalinaw Resort,"Catangnan, General Luna, Siargao, Surigao del Norte",9193957456,info@kalinawresort.com,DOT-R13-RES-00021-2020,31-Oct-26,
17,Resort,Siargao Bleu Resort & Spa,"Catangnan, General Luna, Surigao del Norte",9178188800,siargaobleu@gmail.com,DOT-R13-RES-00049-2021,31-Oct-26,
,,,,,,,,
1,Mabuhay Accommodation,Romantic Beach Villas,"Pob. 5, General Luna, Surigao del Norte",9166226635,rcadek@yahoo.com/rbz@islandsiargao.com / rbvfront@gmail.com,DOT-R13-MAB-00071-2021,31-Oct-26,Renewal
2,Mabuhay Accommodation,Gardenview Homestay,"Brgy. Catangnan, General Luna, Surigao del Norte",0999-676-8337,herbertamaba@yahoo.com,DOT-R13-MAB-00083-2021,31-Oct-26,Renewal
3,Mabuhay Accommodation,RDM Beach Resort,"Region 13, Surigao del Norte, General Luna, Malinao",9190006408,annemadlos@gmail.com,DOT-R13-MAB-00100-2021,31-Oct-26,Renewal
4,Mabuhay Accommodation,Tarzan's House,"Surigao del Norte, General Luna, Catangnan",9620401104,tarzanshouse2019@gmail.com,DOT-R13-MAB-00178-2021,31-Oct-26,Renewal
5,Mabuhay Accommodation,SENTROSUITES VILLA RENTAL [FORMERLY KNOWN AS SENTRO SUITES],"Poblacion II, General Luna, Surigao del Norte",9088830204,info@sentrosuitessiargao.com,DOT-R13-MAB-00259-2022,31-Oct-26,Renewal
6,Mabuhay Accommodation,Patrick's on the Beach,"General Luna, Surigao del Norte",9204317361,"comadevie17@gmail.com

patricksonthebeach@gmail.com

elizabethmiko@gmail.com",DOT-R13-MAB-00080-2021,31-Oct-26,Renewal
7,Mabuhay Accommodation,FOXTAIL GUEST HOUSE,"General Luna, Surigao del Norte",9093914370,foxtailsiargaogh@gmail.com,DOT-R13-MAB-01009-2024,31-Oct-26,Renewal
8,Mabuhay Accommodation,Hostel Bajala Siargao Corp,"General Luna, Surigao del Norte",9176597171,hr@bajalasiargao.ph,DOT-R13-MAB-00537-2023,31-Oct-26,Renewal
9,Mabuhay Accommodation,YAMAHARLEY BEACHFRONT APARTMENTS,"General Luna, Surigao del Norte",9505005767,mgmtefora@gmail.com,DOT-R13-MAB-00550-2023,31-Oct-26,Renewal
10,Mabuhay Accommodation,Happiness Hostel and Restaurant,"General Luna, Surigao del Norte",90171290082,siargaohostel@happinessphilippines.com,DOT-R13-MAB-00553-2023,31-Oct-26,Renewal
11,Mabuhay Accommodation,Kawa Resort,"General Luna, Surigao del Norte",9151219064,kawaresort@gmail.com,DOT-R13-MAB-00570-2023,31-Oct-26,Renewal
12,Mabuhay Accommodation,Siargao Inn,"General Luna, Surigao del Norte",9399103011,charlcris2@gmail.com,DOT-R13-MAB-00856-2024,31-Oct-26,Renewal
13,Mabuhay Accommodation,Kaimana Beach Resort,"General Luna, Surigao del Norte",9171561221,kaimanaresort8@gmail.com,DOT-R13-MAB-00878-2024,31-Oct-26,Renewal
14,Mabuhay Accommodation,RIADMASAYA HOMESTAY,"Tourism Rd, General Luna, Surigao del Norte",9201735559,riadmasaya@gmail.com,DOT-R13-MAB-00038-2020,31-Oct-26,Renewal
15,Mabuhay Accommodation,Sea Green Cafe,"Tourism Rd, General Luna, Surigao del Norte",9855722295,seagreensiargao@gmail.com,DOT-R13-MAB-00897-2024,31-Oct-25,Renewal
16,Mabuhay Accommodation,FOREVER SIARGAO (FORMERLY KNOWN AS MAY FOREVER DESTINATIONS INC),"Purok V, General Luna, Surigao del Norte",9194105312,foreversiargaofficial@gmail.com,DOT-R13-MAB-00089-2021,31-Oct-26,Renewal
17,Mabuhay Accommodation,BAYAY HAYAHAY HOMESTAY,"Purok V, General Luna, Surigao del Norte",9630757711,mariahomestaysiargao@gmail.com,DOT-R13-MAB-00992-2024,31-Oct-26,Renewal
18,Mabuhay Accommodation,BLAUSET HOUSE 1,"Purok V, General Luna, Surigao del Norte",9177138094,manager.blauset@gmail.com,DOT-R13-MAB-01038-2024,31-Oct-26,Renewal
19,Mabuhay Accommodation,BULAN VILLAS SIARGAO INC.,"Catangnan, General Luna, Surigao del Norte",9671333139,bulanvillas@gmail.com,DOT-R13-MAB-00187-2021,31-Oct-26,Renewal
20,Mabuhay Accommodation,Himaya Siargao Villa Rental,"General Luna, Surigao del Norte",9272820372,himaya.siargao@gmail.com,DOT-R13-MAB-00145-2021,31-Oct-26,Renewal
21,Mabuhay Accommodation,The Broken Board,"General Luna, Surigao del Norte",9291794506,brokenboardsiargao@gmail.com,DOT-R13-MAB-00184-2021,31-Oct-26,Renewal
22,Mabuhay Accommodation,DODONG HOMESTAY,"General Luna, Surigao del Norte",9105806156,dodong.homestay@gmail.com,DOT-R13-MAB-00946-2024,31-Oct-26,
23,Mabuhay Accommodation,MYLOVE SIARGAO VILLA RENTAL,"Malinao, General Luna, Surigao del Norte",639958195679,mylovesiargao@gmail.com,DOT-R13-MAB-00955-2024,31-Oct-25,
24,Mabuhay Accommodation,Rucksack Inn Siargao,"Rucksack Inn Siargao, Lot 2967, Bgy. Catangnan, General Luna, Surigao del Norte",9177190129,rommel@thhg.sg,DOT-R13-MAB-01108-2024,31-Oct-26,
25,Mabuhay Accommodation,La Boheme,"Sta. Ines, Catangnan, General Luna, Surigao del Norte",9620400663,ccuencajim@gmail.com,DOT-R13-MAB-00135-2021,31-Oct-26,
26,Mabuhay Accommodation,Mao Mao Surf,"General Luna, Surigao del Norte",9084749759,maomaosurf@gmail.com,DOT-R13-MAB-00067-2021,31-Oct-26,
27,Mabuhay Accommodation,The Village Siargao,"General Luna, Surigao del Norte",0945-297-0774,stay@thevillagesiargao.com,DOT-R13-MAB-00130-2021,31-Oct-26,
28,Mabuhay Accommodation,Tropic Hostel,"General Luna, Surigao del Norte",9205479402,siargaotropichostel@yahoo.com,DOT-R13-MAB-00175-2021,31-Oct-26,
29,Mabuhay Accommodation,MUNIMUNI VILLAS (FORMERLY KNOWN AS MUNI-MUNI VILLAS SIARGAO),"General Luna, Surigao del Norte",0956-479-1054,munimunivillas@gmail.com,DOT-R13-MAB-00208-2021,31-Oct-26,
30,Mabuhay Accommodation,Sweet Home Hostel,"General Luna, Surigao del Norte",9778435410,sweethomehostel2021@gmail.com,DOT-R13-MAB-00220-2022,31-Oct-26,
31,Mabuhay Accommodation,Lubihan Siargao,"General Luna, Surigao del Norte",9178181887,lubihansiargao@gmail.com,DOT-R13-MAB-00162-2021,31-Oct-26,
